"index","mc","mismc"
"227","0.000086","0.058057",
"228","0.000129","0.058062",
"229","0.000164","0.058065",
"230","0.000116","0.058060",
"231","0.000085","0.058060",
"232","0.000086","0.058059",
"233","0.000115","0.058060",
"234","0.000132","0.058065",
"235","0.000111","0.058071",
"236","0.000152","0.058068",
"237","0.000132","0.058063",
"238","0.000133","0.058062",
"239","0.000143","0.058073",
"240","0.000183","0.058073",
"241","0.000190","0.058058",
"242","0.000184","0.058058",
"243","0.000101","0.058049",
"244","0.000092","0.058036",
"245","0.000088","0.058029",
"246","0.000075","0.058027",
"247","0.000059","0.058032",
"248","0.000010","0.058032",
"249","0.000010","0.058025",
"250","0.000033","0.058031",
"251","0.000088","0.058032",
"252","0.000047","0.058035",
"253","0.000025","0.058037",
"254","0.000010","0.058042",
"255","0.000010","0.058038",
"256","0.000010","0.058039",
"257","0.000015","0.058035",
"258","0.000010","0.058039",
"259","0.000016","0.058029",
"260","0.000010","0.058020",
"261","0.000040","0.058026",
"262","0.000088","0.058029",
"263","0.000063","0.058029",
"264","0.000043","0.058025",
"265","0.000057","0.058035",
"266","0.000032","0.058037",
"267","0.000038","0.058026",
"268","0.000044","0.058021",
"269","0.000025","0.058010",
"270","0.000010","0.058013",
"271","0.000025","0.058021",
"272","0.000014","0.058020",
"273","0.000010","0.058014",
"274","0.000033","0.058015",
"275","0.000051","0.058022",
"276","0.000046","0.058021",
"277","0.000054","0.058030",
"278","0.000010","0.058038",
"279","0.000041","0.058034",
"280","0.000018","0.058035",
"281","0.000010","0.058030",
"282","0.000033","0.058030",
"283","0.000025","0.058027",
"284","0.000010","0.058023",
"285","0.000025","0.058019",
"286","0.000055","0.058012",
"287","0.000104","0.058009",
"288","0.000034","0.058009",
"289","0.000010","0.058011",
"290","0.000041","0.058016",
"291","0.000047","0.058010",
"292","0.000038","0.058009",
"293","0.000039","0.058003",
"294","0.000035","0.058005",
"295","0.000010","0.058014",
"296","0.000010","0.058008",
"297","0.000010","0.058017",
"298","0.000016","0.058010",
"299","0.000042","0.058006",
"300","0.000055","0.058001",
"301","0.000059","0.058001",
"302","0.000021","0.058002",
"303","0.000017","0.058007",
"304","0.000010","0.058001",
"305","0.000010","0.058005",
"306","0.000026","0.058002",
"307","0.000010","0.058006",
"308","0.000035","0.058010",
"309","0.000028","0.058014",
"310","0.000038","0.058014",
"311","0.000041","0.058015",
"312","0.000055","0.058019",
"313","0.000024","0.058018",
"314","0.000026","0.058018",
"315","0.000052","0.058014",
"316","0.000010","0.058012",
"317","0.000018","0.058017",
"318","0.000053","0.058018",
"319","0.000051","0.058025",
"320","0.000071","0.058019",
"321","0.000054","0.058020",
"322","0.000066","0.058019",
"323","0.000036","0.058018",
"324","0.000017","0.058016",
"325","0.000032","0.058021",
"326","0.000058","0.058016",
"327","0.000039","0.058014",
"328","0.000075","0.058005",
"329","0.000091","0.058004",
"330","0.000087","0.058007",
"331","0.000090","0.058005",
"332","0.000138","0.058010",
"333","0.000106","0.058009",
"334","0.000083","0.058010",
"335","0.000111","0.058005",
"336","0.000110","0.058007",
"337","0.000123","0.058011",
"338","0.000123","0.058010",
"339","0.000145","0.058006",
"340","0.000120","0.058004",
"341","0.000109","0.057998",
"342","0.000112","0.057996",
"343","0.000096","0.057994",
"344","0.000016","0.057998",
"345","0.000026","0.058001",
"346","0.000010","0.057999",
"347","0.000010","0.058003",
"348","0.000013","0.058011",
"349","0.000032","0.058007",
"350","0.000014","0.058004",
"351","0.000049","0.058003",
"352","0.000068","0.058006",
"353","0.000066","0.058003",
"354","0.000040","0.057998",
