"x","count"
"0.000050","0"
"0.000150","0"
"0.000250","0"
"0.000350","0"
"0.000450","0"
"0.000550","0"
"0.000650","0"
"0.000750","0"
"0.000850","0"
"0.000950","0"
"0.001050","0"
"0.001150","0"
"0.001250","0"
"0.001350","0"
"0.001450","0"
"0.001550","0"
"0.001650","0"
"0.001750","0"
"0.001850","0"
"0.001950","0"
"0.002050","0"
"0.002150","0"
"0.002250","0"
"0.002350","0"
"0.002450","0"
"0.002550","0"
"0.002650","0"
"0.002750","0"
"0.002850","0"
"0.002950","0"
"0.003050","0"
"0.003150","0"
"0.003250","0"
"0.003350","10"
"0.003450","52"
"0.003550","95"
"0.003650","139"
"0.003750","180"
"0.003850","220"
"0.003950","259"
"0.004050","294"
"0.004150","328"
"0.004250","358"
"0.004350","386"
"0.004450","409"
"0.004550","429"
"0.004650","446"
"0.004750","458"
"0.004850","466"
"0.004950","471"
"0.005050","471"
"0.005150","466"
"0.005250","458"
"0.005350","446"
"0.005450","429"
"0.005550","409"
"0.005650","386"
"0.005750","358"
"0.005850","328"
"0.005950","294"
"0.006050","259"
"0.006150","220"
"0.006250","180"
"0.006350","139"
"0.006450","95"
"0.006550","52"
"0.006650","10"
"0.006750","0"
"0.006850","0"
"0.006950","0"
"0.007050","0"
"0.007150","0"
"0.007250","0"
"0.007350","0"
"0.007450","0"
"0.007550","0"
"0.007650","0"
"0.007750","0"
"0.007850","0"
"0.007950","0"
"0.008050","0"
"0.008150","0"
"0.008250","0"
"0.008350","0"
"0.008450","0"
"0.008550","0"
"0.008650","0"
"0.008750","0"
"0.008850","0"
"0.008950","0"
"0.009050","0"
"0.009150","0"
"0.009250","0"
"0.009350","0"
"0.009450","0"
"0.009550","0"
"0.009650","0"
"0.009750","0"
"0.009850","0"
"0.009950","0"
