"index","mc","mcblue","mclds","ismc","ismcblue","ismclds"
"93","0.000349","0.001639","0.000059","0.000216","0.001094","0.000032",
"94","0.000437","0.001475","0.000103","0.000149","0.000953","0.000050",
"95","0.000335","0.001428","0.000250","0.000139","0.000883","0.000017",
"96","0.000408","0.001336","0.000013","0.000075","0.000998","0.000047",
"97","0.000573","0.001343","0.000222","0.000081","0.000959","0.000062",
"98","0.000484","0.001400","0.000132","0.000119","0.000984","0.000040",
"99","0.000628","0.001341","0.000029","0.000061","0.000954","0.000091",
"100","0.000528","0.001452","0.000264","0.000063","0.000934","0.000010",
"101","0.000451","0.001432","0.000018","0.000129","0.000967","0.000012",
"102","0.000425","0.001369","0.000142","0.000146","0.000941","0.000060",
"103","0.000319","0.001359","0.000197","0.000120","0.000849","0.000055",
"104","0.000379","0.001460","0.000010","0.000044","0.000769","0.000127",
"105","0.000502","0.001476","0.000235","0.000118","0.000803","0.000072",
"106","0.000513","0.001421","0.000077","0.000116","0.000814","0.000049",
"107","0.000485","0.001318","0.000064","0.000121","0.000801","0.000068",
"108","0.000433","0.001256","0.000234","0.000178","0.000764","0.000026",
"109","0.000722","0.001099","0.000010","0.000115","0.000763","0.000010",
"110","0.000872","0.001088","0.000174","0.000135","0.000760","0.000032",
"111","0.000883","0.000932","0.000144","0.000140","0.000783","0.000016",
"112","0.000851","0.000814","0.000010","0.000174","0.000774","0.000072",
"113","0.000824","0.000724","0.000232","0.000212","0.000761","0.000011",
"114","0.000595","0.000903","0.000035","0.000247","0.000740","0.000011",
"115","0.000739","0.000695","0.000100","0.000308","0.000723","0.000041",
"116","0.000785","0.000693","0.000195","0.000292","0.000706","0.000018",
"117","0.000692","0.000621","0.000011","0.000322","0.000656","0.000082",
"118","0.000522","0.000480","0.000194","0.000254","0.000643","0.000069",
"119","0.000399","0.000441","0.000094","0.000188","0.000636","0.000052",
"120","0.000264","0.000487","0.000036","0.000194","0.000674","0.000086",
"121","0.000332","0.000369","0.000216","0.000240","0.000650","0.000010",
"122","0.000379","0.000440","0.000010","0.000250","0.000647","0.000022",
"123","0.000417","0.000270","0.000133","0.000252","0.000627","0.000060",
"124","0.000513","0.000283","0.000151","0.000323","0.000683","0.000058",
"125","0.000587","0.000397","0.000010","0.000341","0.000760","0.000105",
"126","0.000703","0.000402","0.000202","0.000293","0.000830","0.000046",
"127","0.000783","0.000434","0.000051","0.000325","0.000752","0.000032",
"128","0.000710","0.000344","0.000067","0.000358","0.000775","0.000043",
"129","0.000705","0.000391","0.000190","0.000405","0.000827","0.000021",
"130","0.000857","0.000458","0.000010","0.000452","0.000826","0.000015",
"131","0.000829","0.000446","0.000158","0.000478","0.000789","0.000029",
"132","0.000644","0.000448","0.000107","0.000531","0.000823","0.000016",
"133","0.000695","0.000451","0.000016","0.000564","0.000833","0.000053",
"134","0.000662","0.000432","0.000197","0.000537","0.000810","0.000018",
"135","0.000517","0.000386","0.000019","0.000519","0.000829","0.000010",
"136","0.000545","0.000554","0.000099","0.000489","0.000828","0.000025",
"137","0.000566","0.000522","0.000156","0.000481","0.000822","0.000020",
"138","0.000561","0.000437","0.000010","0.000446","0.000833","0.000077",
"139","0.000528","0.000419","0.000173","0.000491","0.000811","0.000048",
"140","0.000547","0.000348","0.000067","0.000534","0.000809","0.000032",
"141","0.000566","0.000344","0.000041","0.000505","0.000828","0.000059",
"142","0.000685","0.000206","0.000181","0.000490","0.000837","0.000016",
"143","0.000644","0.000203","0.000010","0.000530","0.000852","0.000010",
"144","0.000560","0.000141","0.000126","0.000559","0.000854","0.000032",
"145","0.000441","0.000277","0.000118","0.000542","0.000845","0.000019",
"146","0.000352","0.000253","0.000010","0.000538","0.000872","0.000061",
"147","0.000306","0.000317","0.000177","0.000558","0.000859","0.000014",
"148","0.000363","0.000295","0.000033","0.000530","0.000838","0.000013",
"149","0.000304","0.000280","0.000070","0.000528","0.000814","0.000026",
"150","0.000212","0.000283","0.000156","0.000484","0.000788","0.000010",
"151","0.000014","0.000268","0.000010","0.000460","0.000792","0.000038",
"152","0.000066","0.000255","0.000146","0.000402","0.000798","0.000040",
