"index","mc","mclds","mismc","mismclds"
"106","0.000628","0.000037","0.000387","0.000011",
"107","0.000701","0.000041","0.000369","0.000020",
"108","0.000647","0.000128","0.000397","0.000012",
"109","0.000724","0.000015","0.000413","0.000010",
"110","0.000779","0.000080","0.000401","0.000010",
"111","0.000926","0.000010","0.000432","0.000010",
"112","0.000955","0.000036","0.000437","0.000010",
"113","0.000861","0.000057","0.000409","0.000010",
"114","0.000846","0.000056","0.000427","0.000010",
"115","0.000708","0.000040","0.000436","0.000010",
"116","0.000560","0.000096","0.000412","0.000011",
"117","0.000530","0.000027","0.000418","0.000010",
"118","0.000490","0.000063","0.000435","0.000010",
"119","0.000555","0.000010","0.000436","0.000010",
"120","0.000566","0.000042","0.000439","0.000010",
"121","0.000431","0.000095","0.000431","0.000010",
"122","0.000372","0.000017","0.000426","0.000010",
"123","0.000337","0.000062","0.000405","0.000010",
"124","0.000267","0.000024","0.000409","0.000010",
"125","0.000081","0.000010","0.000405","0.000010",
"126","0.000045","0.000043","0.000395","0.000010",
"127","0.000153","0.000044","0.000416","0.000010",
"128","0.000153","0.000032","0.000427","0.000010",
"129","0.000128","0.000107","0.000404","0.000016",
"130","0.000025","0.000023","0.000411","0.000015",
"131","0.000096","0.000067","0.000447","0.000013",
"132","0.000115","0.000010","0.000445","0.000010",
"133","0.000159","0.000037","0.000425","0.000015",
"134","0.000157","0.000061","0.000417","0.000010",
"135","0.000123","0.000040","0.000435","0.000010",
"136","0.000116","0.000041","0.000450","0.000020",
"137","0.000060","0.000060","0.000424","0.000013",
"138","0.000010","0.000014","0.000420","0.000010",
"139","0.000037","0.000046","0.000433","0.000010",
"140","0.000070","0.000019","0.000429","0.000010",
"141","0.000063","0.000033","0.000410","0.000010",
"142","0.000069","0.000093","0.000412","0.000013",
"143","0.000059","0.000010","0.000428","0.000010",
"144","0.000050","0.000059","0.000417","0.000010",
"145","0.000010","0.000010","0.000408","0.000011",
"146","0.000039","0.000021","0.000389","0.000010",
"147","0.000116","0.000040","0.000379","0.000010",
"148","0.000126","0.000043","0.000393","0.000010",
"149","0.000085","0.000029","0.000384","0.000010",
"150","0.000097","0.000084","0.000395","0.000012",
"151","0.000086","0.000023","0.000404","0.000010",
"152","0.000085","0.000053","0.000395","0.000010",
"153","0.000134","0.000010","0.000395","0.000010",
"154","0.000155","0.000034","0.000377","0.000010",
"155","0.000170","0.000066","0.000385","0.000010",
"156","0.000225","0.000022","0.000392","0.000010",
"157","0.000194","0.000044","0.000384","0.000012",
"158","0.000162","0.000031","0.000360","0.000012",
"159","0.000187","0.000010","0.000346","0.000011",
"160","0.000057","0.000035","0.000350","0.000011",
"161","0.000034","0.000029","0.000344","0.000010",
"162","0.000109","0.000026","0.000323","0.000017",
"163","0.000109","0.000086","0.000330","0.000011",
"164","0.000055","0.000014","0.000320","0.000010",
"165","0.000016","0.000054","0.000322","0.000015",
"166","0.000103","0.000010","0.000317","0.000010",
"167","0.000151","0.000027","0.000297","0.000010",
"168","0.000195","0.000042","0.000288","0.000010",
"169","0.000197","0.000036","0.000306","0.000010",
"170","0.000187","0.000029","0.000306","0.000013",
"171","0.000173","0.000059","0.000324","0.000015",
"172","0.000087","0.000016","0.000315","0.000010",
"173","0.000043","0.000041","0.000328","0.000010",
"174","0.000013","0.000010","0.000343","0.000013",
"175","0.000010","0.000028","0.000336","0.000010",
"176","0.000038","0.000070","0.000308","0.000010",
"177","0.000055","0.000010","0.000309","0.000011",
"178","0.000010","0.000045","0.000311","0.000010",
"179","0.000010","0.000011","0.000318","0.000010",
"180","0.000112","0.000011","0.000348","0.000010",
"181","0.000120","0.000030","0.000336","0.000010",
"182","0.000026","0.000033","0.000345","0.000010",
"183","0.000018","0.000022","0.000368","0.000010",
"184","0.000075","0.000073","0.000366","0.000010",
"185","0.000011","0.000018","0.000348","0.000010",
"186","0.000027","0.000046","0.000348","0.000010",
"187","0.000032","0.000010","0.000333","0.000010",
"188","0.000054","0.000027","0.000330","0.000010",
"189","0.000028","0.000047","0.000330","0.000010",
"190","0.000010","0.000025","0.000316","0.000010",
"191","0.000016","0.000032","0.000307","0.000010",
"192","0.000012","0.000036","0.000293","0.000010",
"193","0.000028","0.000010","0.000308","0.000010",
"194","0.000010","0.000031","0.000312","0.000010",
"195","0.000010","0.000018","0.000298","0.000010",
"196","0.000016","0.000023","0.000295","0.000010",
"197","0.000010","0.000069","0.000280","0.000010",
"198","0.000053","0.000010","0.000266","0.000010",
"199","0.000010","0.000044","0.000279","0.000010",
"200","0.000103","0.000010","0.000269","0.000010",
"201","0.000068","0.000018","0.000284","0.000010",
"202","0.000088","0.000031","0.000271","0.000010",
"203","0.000014","0.000032","0.000262","0.000012",
"204","0.000016","0.000022","0.000237","0.000010",
"205","0.000010","0.000057","0.000243","0.000010",
"206","0.000053","0.000016","0.000233","0.000010",
"207","0.000120","0.000037","0.000230","0.000010",
"208","0.000098","0.000010","0.000231","0.000010",
"209","0.000102","0.000025","0.000230","0.000010",
"210","0.000157","0.000053","0.000221","0.000010",
"211","0.000139","0.000012","0.000213","0.000010",
"212","0.000090","0.000035","0.000209","0.000010",
"213","0.000010","0.000018","0.000200","0.000010",
"214","0.000039","0.000010","0.000213","0.000010",
"215","0.000087","0.000026","0.000199","0.000010",
"216","0.000076","0.000024","0.000200","0.000010",
"217","0.000067","0.000019","0.000180","0.000010",
"218","0.000069","0.000064","0.000165","0.000010",
"219","0.000093","0.000013","0.000156","0.000010",
"220","0.000071","0.000040","0.000159","0.000010",
"221","0.000027","0.000010","0.000147","0.000010",
"222","0.000057","0.000022","0.000129","0.000010",
"223","0.000094","0.000035","0.000125","0.000010",
"224","0.000116","0.000026","0.000130","0.000010",
"225","0.000114","0.000024","0.000135","0.000010",
"226","0.000069","0.000040","0.000140","0.000010",
"227","0.000050","0.000010","0.000128","0.000010",
"228","0.000032","0.000029","0.000124","0.000010",
"229","0.000047","0.000010","0.000115","0.000011",
"230","0.000089","0.000021","0.000116","0.000010",
"231","0.000095","0.000056","0.000139","0.000010",
"232","0.000119","0.000010","0.000148","0.000012",
"233","0.000125","0.000036","0.000166","0.000010",
"234","0.000088","0.000010","0.000150","0.000010",
"235","0.000110","0.000012","0.000150","0.000010",
"236","0.000074","0.000024","0.000149","0.000010",
"237","0.000061","0.000027","0.000152","0.000010",
"238","0.000112","0.000018","0.000155","0.000010",
"239","0.000105","0.000054","0.000150","0.000010",
"240","0.000169","0.000014","0.000155","0.000010",
"241","0.000136","0.000034","0.000159","0.000010",
"242","0.000118","0.000010","0.000156","0.000010",
"243","0.000128","0.000022","0.000138","0.000010",
"244","0.000149","0.000040","0.000139","0.000010",
"245","0.000161","0.000016","0.000144","0.000010",
"246","0.000159","0.000027","0.000151","0.000010",
"247","0.000123","0.000023","0.000142","0.000010",
"248","0.000105","0.000010","0.000143","0.000010",
"249","0.000108","0.000023","0.000145","0.000010",
"250","0.000066","0.000017","0.000145","0.000010",
"251","0.000068","0.000017","0.000149","0.000010",
"252","0.000057","0.000055","0.000152","0.000010",
"253","0.000017","0.000010","0.000152","0.000010",
"254","0.000010","0.000035","0.000148","0.000010",
"255","0.000043","0.000010","0.000146","0.000010",
"256","0.000010","0.000016","0.000155","0.000010",
"257","0.000049","0.000026","0.000153","0.000010",
"258","0.000063","0.000025","0.000164","0.000010",
"259","0.000045","0.000018","0.000162","0.000010",
"260","0.000030","0.000042","0.000163","0.000010",
"261","0.000010","0.000011","0.000163","0.000010",
"262","0.000019","0.000028","0.000147","0.000010",
"263","0.000039","0.000010","0.000156","0.000010",
"264","0.000017","0.000019","0.000146","0.000010",
"265","0.000042","0.000045","0.000149","0.000010",
"266","0.000097","0.000010","0.000143","0.000010",
