"x","count"
"0.000050","0"
"0.000150","0"
"0.000250","0"
"0.000350","0"
"0.000450","0"
"0.000550","0"
"0.000650","0"
"0.000750","0"
"0.000850","0"
"0.000950","0"
"0.001050","0"
"0.001150","0"
"0.001250","0"
"0.001350","0"
"0.001450","0"
"0.001550","0"
"0.001650","0"
"0.001750","0"
"0.001850","0"
"0.001950","0"
"0.002050","0"
"0.002150","0"
"0.002250","0"
"0.002350","0"
"0.002450","0"
"0.002550","0"
"0.002650","0"
"0.002750","0"
"0.002850","0"
"0.002950","0"
"0.003050","0"
"0.003150","0"
"0.003250","0"
"0.003350","0"
"0.003450","0"
"0.003550","0"
"0.003650","0"
"0.003750","0"
"0.003850","0"
"0.003950","0"
"0.004050","0"
"0.004150","0"
"0.004250","0"
"0.004350","0"
"0.004450","0"
"0.004550","0"
"0.004650","0"
"0.004750","0"
"0.004850","0"
"0.004950","0"
"0.005050","0"
"0.005150","0"
"0.005250","0"
"0.005350","0"
"0.005450","0"
"0.005550","0"
"0.005650","0"
"0.005750","0"
"0.005850","0"
"0.005950","0"
"0.006050","0"
"0.006150","0"
"0.006250","0"
"0.006350","0"
"0.006450","0"
"0.006550","0"
"0.006650","2"
"0.006750","37"
"0.006850","81"
"0.006950","125"
"0.007050","166"
"0.007150","207"
"0.007250","247"
"0.007350","282"
"0.007450","317"
"0.007550","349"
"0.007650","377"
"0.007750","401"
"0.007850","423"
"0.007950","441"
"0.008050","454"
"0.008150","464"
"0.008250","470"
"0.008350","471"
"0.008450","468"
"0.008550","461"
"0.008650","451"
"0.008750","435"
"0.008850","416"
"0.008950","394"
"0.009050","368"
"0.009150","338"
"0.009250","306"
"0.009350","271"
"0.009450","233"
"0.009550","194"
"0.009650","152"
"0.009750","110"
"0.009850","67"
"0.009950","22"
