"x","PDF(x)"
"0.015708","0.000000"
"0.047124","0.000000"
"0.078540","0.000000"
"0.109956","0.000000"
"0.141372","0.000000"
"0.172788","0.000000"
"0.204204","0.000000"
"0.235619","0.000000"
"0.267035","0.000000"
"0.298451","0.000000"
"0.329867","0.000000"
"0.361283","0.000000"
"0.392699","0.000000"
"0.424115","0.000000"
"0.455531","0.000000"
"0.486947","0.000000"
"0.518363","0.000000"
"0.549779","0.000000"
"0.581195","0.000000"
"0.612611","0.000000"
"0.644026","0.000000"
"0.675442","0.000000"
"0.706858","0.000000"
"0.738274","0.000000"
"0.769690","0.000000"
"0.801106","0.000000"
"0.832522","0.000000"
"0.863938","0.000000"
"0.895354","0.000000"
"0.926770","0.000000"
"0.958186","0.000000"
"0.989602","0.000000"
"1.021018","0.000000"
"1.052434","0.023561"
"1.083849","0.164601"
"1.115265","0.304181"
"1.146681","0.441060"
"1.178097","0.574025"
"1.209513","0.701895"
"1.240929","0.823534"
"1.272345","0.937864"
"1.303761","1.043869"
"1.335177","1.140609"
"1.366593","1.227225"
"1.398009","1.302947"
"1.429425","1.367105"
"1.460841","1.419128"
"1.492257","1.458555"
"1.523672","1.485035"
"1.555088","1.498335"
"1.586504","1.498335"
"1.617920","1.485035"
"1.649336","1.458555"
"1.680752","1.419128"
"1.712168","1.367105"
"1.743584","1.302947"
"1.775000","1.227225"
"1.806416","1.140609"
"1.837832","1.043869"
"1.869248","0.937864"
"1.900664","0.823534"
"1.932079","0.701895"
"1.963495","0.574025"
"1.994911","0.441060"
"2.026327","0.304181"
"2.057743","0.164601"
"2.089159","0.023561"
"2.120575","0.000000"
"2.151991","0.000000"
"2.183407","0.000000"
"2.214823","0.000000"
"2.246239","0.000000"
"2.277655","0.000000"
"2.309071","0.000000"
"2.340487","0.000000"
"2.371902","0.000000"
"2.403318","0.000000"
"2.434734","0.000000"
"2.466150","0.000000"
"2.497566","0.000000"
"2.528982","0.000000"
"2.560398","0.000000"
"2.591814","0.000000"
"2.623230","0.000000"
"2.654646","0.000000"
"2.686062","0.000000"
"2.717478","0.000000"
"2.748894","0.000000"
"2.780309","0.000000"
"2.811725","0.000000"
"2.843141","0.000000"
"2.874557","0.000000"
"2.905973","0.000000"
"2.937389","0.000000"
"2.968805","0.000000"
"3.000221","0.000000"
"3.031637","0.000000"
"3.063053","0.000000"
"3.094469","0.000000"
"3.125885","0.000000"
