"x","PDF(x)"
"0.015708","0.070660"
"0.047124","0.211352"
"0.078540","0.350168"
"0.109956","0.485876"
"0.141372","0.617272"
"0.172788","0.743188"
"0.204204","0.862508"
"0.235619","0.974172"
"0.267035","1.077189"
"0.298451","1.170646"
"0.329867","1.253711"
"0.361283","1.325648"
"0.392699","1.385819"
"0.424115","1.433690"
"0.455531","1.468834"
"0.486947","1.490941"
"0.518363","1.499815"
"0.549779","1.495376"
"0.581195","1.477664"
"0.612611","1.446836"
"0.644026","1.403166"
"0.675442","1.347041"
"0.706858","1.278960"
"0.738274","1.199527"
"0.769690","1.109447"
"0.801106","1.009519"
"0.832522","0.900630"
"0.863938","0.783748"
"0.895354","0.659909"
"0.926770","0.530212"
"0.958186","0.395810"
"0.989602","0.257894"
"1.021018","0.117689"
"1.052434","0.000000"
"1.083849","0.000000"
"1.115265","0.000000"
"1.146681","0.000000"
"1.178097","0.000000"
"1.209513","0.000000"
"1.240929","0.000000"
"1.272345","0.000000"
"1.303761","0.000000"
"1.335177","0.000000"
"1.366593","0.000000"
"1.398009","0.000000"
"1.429425","0.000000"
"1.460841","0.000000"
"1.492257","0.000000"
"1.523672","0.000000"
"1.555088","0.000000"
"1.586504","0.000000"
"1.617920","0.000000"
"1.649336","0.000000"
"1.680752","0.000000"
"1.712168","0.000000"
"1.743584","0.000000"
"1.775000","0.000000"
"1.806416","0.000000"
"1.837832","0.000000"
"1.869248","0.000000"
"1.900664","0.000000"
"1.932079","0.000000"
"1.963495","0.000000"
"1.994911","0.000000"
"2.026327","0.000000"
"2.057743","0.000000"
"2.089159","0.000000"
"2.120575","0.000000"
"2.151991","0.000000"
"2.183407","0.000000"
"2.214823","0.000000"
"2.246239","0.000000"
"2.277655","0.000000"
"2.309071","0.000000"
"2.340487","0.000000"
"2.371902","0.000000"
"2.403318","0.000000"
"2.434734","0.000000"
"2.466150","0.000000"
"2.497566","0.000000"
"2.528982","0.000000"
"2.560398","0.000000"
"2.591814","0.000000"
"2.623230","0.000000"
"2.654646","0.000000"
"2.686062","0.000000"
"2.717478","0.000000"
"2.748894","0.000000"
"2.780309","0.000000"
"2.811725","0.000000"
"2.843141","0.000000"
"2.874557","0.000000"
"2.905973","0.000000"
"2.937389","0.000000"
"2.968805","0.000000"
"3.000221","0.000000"
"3.031637","0.000000"
"3.063053","0.000000"
"3.094469","0.000000"
"3.125885","0.000000"
